Name,SMILES,InChI,InChIKey,Source,FooDB ID,DNMT1,DNMT3a,DNMT3b,HAT/Ep300,HAT2B/Ep300,HAT3B/p300,EZH2,PRMT1,HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,HDAC6,HDAC7,HDAC8,HDAC9,HDAC10,HDAC11,SIRT1,SIRT2,SIRT3,SIRT4,SIRT5,SIRT6,SIRT7,LSD1,KDM1A,KDM1B,KDM2A,KDM2B,KDM3A,KDM3B,KDM4A,KDM4B,KDM4C,KDM4D,KDM5A,KDM5B,KDM5C,KDM5D,KDM6A,KDM6B,KDM7A,KDM8,BET/BRD4,Unknown epigenetic target DNMT,Unknown epigenetic target HAT,Unknown epigenetic target HDAC,Unknown epigenetic target,Total Targets,COCONUT ID,DOI
Biotin,OC(=O)CCCCC1SCC2NC(=O)NC12,"InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)",YBJHBAHKTGYVGT-UHFFFAOYSA-N,"Organ meats, eggs, nuts, seeds, certain vegetables",FDB014510,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,27,CNP0177348,10.1080/10408398.2020.1712674
Boswellic Acid,C[C@@H]1CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@@H](O)[C@@](C)([C@@H]5CC[C@@]34C)C(O)=O)[C@@H]2[C@H]1C,"InChI=1S/C32H48O5/c1-18-9-12-28(4)15-16-30(6)21(25(28)19(18)2)17-22(34)26-29(5)13-11-24(37-20(3)33)32(8,27(35)36)23(29)10-14-31(26,30)7/h17-19,23-26H,9-16H2,1-8H3,(H,35,36)/t18-,19+,23-,24-,25+,26-,28-,29+,30-,31-,32-/m1/s1",HMMGKOVEOFBCAU-BCDBGHSCSA-N,Extracted from Boswellia serrata (Indian frankincense),FDB013798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,CNP0224551,10.3390/nu13113714
Butein,Oc1ccc(c(O)c1)C(=O)\C=C\c2ccc(O)c(O)c2,"InChI=1S/C15H12O5/c16-10-3-4-11(14(19)8-10)12(17)5-1-9-2-6-13(18)15(20)7-9/h1-8,16,18-20H/b5-1+",AYMYWHCQALZEGT-ORCRQEGFSA-N,Certain plants like Rhus verniciflua (lacquer tree),FDB000082,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,CNP0336049,10.3390/nu10060731
Butyrate,CCCC([O-])=O,"InChI=1S/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)/p-1",FERIUCNNQQJTOY-UHFFFAOYSA-M,"Fermented foods (butter, ghee), some cheeses",Not in database,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,CNP0259447,"10.1007/s11356-021-15594-8,10.3389/fmicb.2022.961536,10.1177/1179237X17729900,10.1016/j.nut.2021.111499,10.3390/nu13124345"
Butyric Acid,CCCC(O)=O,"InChI=1S/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)",FERIUCNNQQJTOY-UHFFFAOYSA-N,"Fermented foods (butter, ghee), some cheeses",FDB012062,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,CNP0186784,10.3390/antiox11010035
Caffeic acid,OC(=O)\C=C/c1ccc(O)c(O)c1,"InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)/b4-2+",QAIPRVGONGVQAS-DUXPYHPUSA-N,"Common verbena, tarragon, basil, common thyme, burdock, common oregano, black chokeberry, anise, pear, and chicory",FDB002558,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Not in database,10.3389/fgene.2019.00079
Caffeine,Cn1cnc2N(C)C(=O)N(C)C(=O)c12,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3",RYYVLZVUVIJVGH-UHFFFAOYSA-N,"Coffee, tea, chocolate, energy drinks, soft drinks",FDB002100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CNP0228556,"10.1016/j.tem.2019.11.004,10.1016/j.mam.2017.02.001,10.3390/ijms22189949,10.21037/tau-20-592,10.3390/nu12103118,10.1016/j.cellsig.2017.07.018"
Calcium glucarate,[Ca++].O[C@@H]([C@H](O)[C@H](O)C([O-])=O)[C@@H](O)C([O-])=O,"InChI=1S/C6H10O8.Ca/c7-1(3(9)5(11)12)2(8)4(10)6(13)14;/h1-4,7-10H,(H,11,12)(H,13,14);/q;+2/p-2/t1-,2-,3-,4+;/m0./s1",UGZVNIRNPPEDHM-SBBOJQDXSA-L,"Fruits (apples, oranges), cruciferous vegetables",Not in database,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,CNP0148557,10.1007/s11356-021-15594-8
Cannabidiol,CCCCCc1cc(O)c(C2C=C(C)CC[C@H]2C(C)=C)c(O)c1,"InChI=1S/C21H30O2/c1-5-6-7-8-16-12-19(22)21(20(23)13-16)18-11-15(4)9-10-17(18)14(2)3/h11-13,17-18,22-23H,2,5-10H2,1,3-4H3/t17-,18?/m0/s1",QHMBSVQNZZTUGM-ZENAZSQFSA-N,Derived from hemp or cannabis plants,Not in database,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,CNP0311769,"10.3390/genes13112165,10.3390/ijms22041863,10.3390/biom11050766,10.1159/000511979"
Capsaicin,COc1cc(CNC(=O)CCCC\C=C\C(C)C)ccc1O,"InChI=1S/C18H27NO3/c1-14(2)8-6-4-5-7-9-18(21)19-13-15-10-11-16(20)17(12-15)22-3/h6,8,10-12,14,20H,4-5,7,9,13H2,1-3H3,(H,19,21)/b8-6+",YKPUWZUDDOIDPM-SOFGYWHQSA-N,Chili peppers,FDB012411,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,CNP0345091,10.1155/2021/9995903
Chlorogenic acid,O[C@@H]1C[C@](O)(C[C@@H](OC(=O)\C=C\c2ccc(O)c(O)c2)[C@@H]1O)C(O)=O,"InChI=1S/C16H18O9/c17-9-3-1-8(5-10(9)18)2-4-13(20)25-12-7-16(24,15(22)23)6-11(19)14(12)21/h1-5,11-12,14,17-19,21,24H,6-7H2,(H,22,23)/b4-2+/t11-,12-,14-,16+/m1/s1",CWVRJTMFETXNAD-JUHZACGLSA-N,"Arabica coffee, sunflower, blueberry, highbush blueberry, globe artichoke, pear, medium high blueberry, chicory leaves, burdock, and lowbush blueberry",FDB002582,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CNP0215187,10.1007/s11356-021-15594-8
Chlorophyll,[Mg++].CCc1c(C)c2[n-]c1cc3nc4c([C@@H](C(=O)OC)C(=O)c4c3C)c5nc(cc6[n-]c(c2)c(C=C)c6C)[C@@H](C)[C@@H]5CCC(=O)OC/C=C(C)/CCCC(C)CCCC(C)CCCC(C)C,"InChI=1S/C55H73N4O5.Mg/c1-13-39-35(8)42-28-44-37(10)41(24-25-48(60)64-27-26-34(7)23-17-22-33(6)21-16-20-32(5)19-15-18-31(3)4)52(58-44)50-51(55(62)63-12)54(61)49-38(11)45(59-53(49)50)30-47-40(14-2)36(9)43(57-47)29-46(39)56-42;/h13,26,28-33,37,41,51H,1,14-25,27H2,2-12H3,(H-,56,57,58,59,61);/q-1;+2/p-1/b34-26+;/t32?,33?,37-,41-,51+;/m0./s1",ATNHDLDRLWWWCB-WJQLOWBJSA-M,"Green leafy vegetables, algae, herbs",FDB016592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Not in database,10.1186/s41021-021-00180-8
Cholecalciferol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C3/C[C@@H](O)CCC3=C,"InChI=1S/C27H44O/c1-19(2)8-6-9-21(4)25-15-16-26-22(10-7-17-27(25,26)5)12-13-23-18-24(28)14-11-20(23)3/h12-13,19,21,24-26,28H,3,6-11,14-18H2,1-2,4-5H3/b22-12+,23-13+/t21-,24+,25-,26+,27-/m1/s1",QYSXJUFSXHHAJI-FVUVGDFOSA-N,"Fatty fish, egg yolks, sunlight exposure, fortified foods",FDB012732,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CNP0117742,"10.2217/epi-2018-0081,10.1016/j.arr.2017.09.006"
Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,"InChI=1S/C27H46O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h9,18-19,21-25,28H,6-8,10-17H2,1-5H3/t19-,21+,22+,23-,24+,25+,26+,27-/m1/s1",HVYWMOMLDIMFJA-DPAQBDIFSA-N,"Animal-based foods (organ meats, egg yolks, high-fat dairy products)",FDB013269,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CNP0174859,"10.3390/biomedicines9070810,10.3390/ani11020544,10.1016/j.biopha.2021.112277,10.1016/j.jff.2021.104751,10.1016/j.pharmthera.2020.107514,10.17235/reed.2020.6640/2019,10.3390/ijms21062097,10.1186/s12959-020-00240-z,10.5650/jos.ess19116,10.1111/joim.12959,10.1007/s11886-019-1086-z,10.3389/fimmu.2018.00298,10.1016/j.semcdb.2017.11.026,10.2174/1389202919666171229145156,10.1016/j.gene.2016.10.022,10.1016/j.arr.2022.101615,10.1016/j.maturitas.2020.02.005,10.1111/obr.12817,10.1038/nrgastro.2017.38"
Choline,C[N+](C)(C)CCO,"InChI=1S/C5H14NO/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3/q+1",OEYIOHPDSNJKLS-UHFFFAOYSA-N,"Eggs, liver, peanuts, soybeans, cruciferous vegetables",FDB000710,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CNP0161849,"10.21037/tau-20-592,10.3168/jds.2019-17319,10.1002/mnfr.201900377,10.1080/10408398.2017.1359488,10.3390/nu11122995,10.1093/nutrit/nuy006,10.3390/ijms24032346,10.1016/j.mam.2016.11.007,10.2741/4636"
Chrysin,Oc1cc(O)c2C(=O)C=C(Oc2c1)c3ccccc3,"InChI=1S/C15H10O4/c16-10-6-11(17)15-12(18)8-13(19-14(15)7-10)9-4-2-1-3-5-9/h1-8,16-17H",RTIXKCRFFJGDFG-UHFFFAOYSA-N,"Passionflower, honey, propolis",FDB015535,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CNP0280624,10.1002/ptr.6869
Citrulline,N[C@@H](CCCNC(N)=O)C(O)=O,"InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1",RHGKLRLOHDJJDR-BYPYZUCNSA-N,"Watermelon, melons, fruits, vegetables, legumes",FDB112167,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CNP0209633,10.1016/j.cbpa.2021.01.010
Coenzyme Q10,COC1=C(OC)C(=O)C(=C(C)C1=O)C\C=C(C)\CC\C=C(C)\CC\C=C(C)\CC\C=C(C)\CC\C=C(C)\CC\C=C(C)\CC\C=C(C)\CC\C=C(C)\CC\C=C(C)\CCC=C(C)C,"InChI=1S/C59H90O4/c1-44(2)24-15-25-45(3)26-16-27-46(4)28-17-29-47(5)30-18-31-48(6)32-19-33-49(7)34-20-35-50(8)36-21-37-51(9)38-22-39-52(10)40-23-41-53(11)42-43-55-54(12)56(60)58(62-13)59(63-14)57(55)61/h24,26,28,30,32,34,36,38,40,42H,15-23,25,27,29,31,33,35,37,39,41,43H2,1-14H3/b45-26+,46-28+,47-30+,48-32+,49-34+,50-36+,51-38+,52-40+,53-42+",ACTIUHUUMQJHFO-UPTCCGCDSA-N,"Meat, fish, whole grains",FDB013228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,CNP0278913,"10.3390/healthcare10030487,10.3390/ijms23158233,10.3390/nu14102150"
Conjugated Linoleic Acid,CCCCCC/C=C/C=C/CCCCCCCC(O)=O,"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h7-10H,2-6,11-17H2,1H3,(H,19,20)/b8-7+,10-9+",JBYXPOFIGCOSSB-XBLVEGMJSA-N,Meat and dairy products of ruminant animals,FDB023609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,CNP0416601,10.1016/j.yfrne.2019.100773
Corosolic Acid,C[C@@H]1CC[C@@]2(CC[C@]3(C)C(=CCC4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)C5CC[C@@]34C)[C@@H]2[C@H]1C)C(O)=O,"InChI=1S/C30H48O4/c1-17-10-13-30(25(33)34)15-14-28(6)19(23(30)18(17)2)8-9-22-27(5)16-20(31)24(32)26(3,4)21(27)11-12-29(22,28)7/h8,17-18,20-24,31-32H,9-16H2,1-7H3,(H,33,34)/t17-,18+,20-,21+,22-,23+,24+,27+,28-,29-,30+/m1/s1",HFGSQOYIOKBQOW-ZSDYHTTISA-N,"Banaba leaf extract, guava, loquat and olive",FDB013735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,CNP0255341,10.3390/nu13113714
Coumaric acid,C1=CC(=CC=C1C=CC(=O)O)O,"InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)/b6-3+",NGSWKAQJJWESNS-ZZXKWVIFSA-N,"Pepper (C. frutescens), pineapple, sunflower, turmeric, sweet basil, common thyme, spinach, cranberry, walnut, and red huckleberry",FDB002593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,CNP0246403,10.1080/10408398.2019.1571480
Cucurbitacin B,CC(=O)OC(C)(C)\C=C\C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C[C@H](O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,"InChI=1S/C32H46O8/c1-17(33)40-27(2,3)13-12-23(36)32(9,39)25-21(35)15-29(6)22-11-10-18-19(14-20(34)26(38)28(18,4)5)31(22,8)24(37)16-30(25,29)7/h10,12-13,19-22,25,34-35,39H,11,14-16H2,1-9H3/b13-12+/t19-,20+,21-,22+,25+,29+,30-,31+,32+/m1/s1",IXQKXEUSCPEQRD-DKRGWESNSA-N,"Bitter gourd, calabash, cucumber, muskmelon and watermelon",FDB013515,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CNP0337918,10.3390/nu13113714
Curcumin,COc1cc(\C=C\C(=O)CC(=O)\C=C\c2ccc(O)c(OC)c2)ccc1O,"InChI=1S/C21H20O6/c1-26-20-11-14(5-9-18(20)24)3-7-16(22)13-17(23)8-4-15-6-10-19(25)21(12-15)27-2/h3-12,24-25H,13H2,1-2H3/b7-3+,8-4+",VFLDPWHFBUODDF-FCXRPNKRSA-N,"Turmeric, curry powder, abalone, abiyuch, acerola, acorn, adzuki bean, agar, agave, and Alaskan blueberry",FDB012292,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,CNP0164301,"10.3390/nu13020332,10.3390/biom12101339,10.3390/molecules27248891,10.1016/j.biopha.2022.113956,10.1080/10408398.2022.2119364,10.1016/j.semcancer.2020.02.011,10.3390/ijms231911712,10.1039/d2fo00186a,10.3389/fgene.2022.960263,10.3390/plants11192524,10.1186/s11658-021-00301-9,10.3390/ijms22189949,10.1016/j.nut.2020.111119,10.3390/antiox10121859,10.3390/ijms21114006,10.3389/fimmu.2020.01407,10.2217/epi-2018-0081,10.2174/1871530319666181129103056,10.1007/s10522-019-09817-2,10.3389/fgene.2019.00079,10.1159/000480636,10.1016/j.taap.2021.115467,10.3390/antiox9090865,10.1007/978-3-030-20301-6_16,10.1080/10408398.2020.1825286,10.1080/01635581.2017.1359322,10.1515/reveh-2016-0041,10.3390/antiox11010035,10.1002/ptr.7069"
Curcumol,CC(C)C1CC23O[C@@]1(O)CC(=C)[C@@H]2CCC3C,"InChI=1S/C15H24O2/c1-9(2)13-8-14-11(4)5-6-12(14)10(3)7-15(13,16)17-14/h9,11-13,16H,3,5-8H2,1-2,4H3/t11-,12-,13-,14-,15+/m0/s1",QRMPRVXWPCLVNI-YYFQZIEXSA-N,Turmeric spice,FDB017348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,CNP0455367,"10.1007/s11356-021-15594-8,10.7150/ijbs.34716"
Cyanidin,Oc1cc(O)c2cc(O)c([o+]c2c1)c3ccc(O)c(O)c3,"InChI=1S/C15H10O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-6H,(H4-,16,17,18,19,20)/p+1",VEVZSMAEJFVWIL-UHFFFAOYSA-O,"Black raspberry, elderberry, black chokeberry, cherry, saskatoon berry, bean, cloudberry, collard greens, cranberry black currant",FDB002602,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Not in database,10.1080/10408398.2020.1763910
D-antroquinonol,CC1C(C(C(=C(C1=O)OC)OC)O)CC=C(C)CCC=C(C)CCC=C(C)C,"InChI=1S/C24H38O4/c1-16(2)10-8-11-17(3)12-9-13-18(4)14-15-20-19(5)21(25)23(27-6)24(28-7)22(20)26/h10,12,14,19-20,22,26H,8-9,11,13,15H2,1-7H3",LJTSIMVOOOLKOL-UHFFFAOYSA-N,"Antrodia cinnamomea, a type of mushroom",Not in database,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CNP0190002,10.3390/nu13113714
Daidzein,Oc1ccc(cc1)C2=COc3cc(O)ccc3C2=O,"InChI=1S/C15H10O4/c16-10-3-1-9(2-4-10)13-8-19-14-7-11(17)5-6-12(14)15(13)18/h1-8,16-17H",ZQSIJRDFPHDXIC-UHFFFAOYSA-N,Soybeans and soy products,FDB002608,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,CNP0463899,10.1080/10408398.2020.1763910
Delphinidin,[Cl-].Oc1cc(O)c2cc(O)c([o+]c2c1)c3cc(O)c(O)c(O)c3,"InChI=1S/C15H10O7.ClH/c16-7-3-9(17)8-5-12(20)15(22-13(8)4-7)6-1-10(18)14(21)11(19)2-6;/h1-5H,(H5-,16,17,18,19,20,21);1H",FFNDMZIBVDSQFI-UHFFFAOYSA-N,"Berries (blueberries, strawberries, blackberries)",FDB002613,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,CNP0311793,10.3389/fgene.2021.758733
Diallyl disulfide ,C=CCSSCC=C,"InChI=1S/C6H10S2/c1-3-5-7-8-6-4-2/h3-4H,1-2,5-6H2",PFRGXCVKLLPLIP-UHFFFAOYSA-N,"Chives, garden onion, garden onion, garlic, green onion, red onion, soft neck garlic and Welsh onion",FDB012196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,CNP0311793,10.1002/tcr.201800133
Docosahexaenoic acid (DHA),CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O,"InChI=1S/C22H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h3-4,6-7,9-10,12-13,15-16,18-19H,2,5,8,11,14,17,20-21H2,1H3,(H,23,24)/b4-3-,7-6-,10-9-,13-12-,16-15-,19-18-",MBMBGCFOFBJSGT-KUBAVDMBSA-N,"Fatty fish (salmon, mackerel, sardines)",FDB003003,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,CNP0165660,10.1007/s11356-021-15594-8
Eicosapentaenoic acid (EPA),CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O,"InChI=1S/C20H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h3-4,6-7,9-10,12-13,15-16H,2,5,8,11,14,17-19H2,1H3,(H,21,22)/b4-3-,7-6-,10-9-,13-12-,16-15-",JAZBEHYOTPTENJ-JLNKQSITSA-N,"Fatty fish (salmon, mackerel, sardines)",FDB003102,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,CNP0214199,10.1007/s11356-021-15594-8
